Subnetwork member genes	Tissue-specific mutated genes	P value	Conductance score	Number of subnetwork members	Tissue
SPEN	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
NRG1	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
RET	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
LETMD1	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
ARAF	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
HBEGF	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
LIN7A	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
LIN7C	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
MAP2K2	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
ERBB4	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
CHD9	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
PPP2CB	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
MARK3	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
FGFR2	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
NRAS	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
PPP2R2D	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
FGFR3	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
ERBB3	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
BRAF	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
PPP2R2A	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
TRABD	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
KRAS	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
MAPK13	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
RAF1	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
YWHAH	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
RDH13	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
AREG	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
TGFA	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
PLCG1	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
MAPK11	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
ERBB2	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
RASA3	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
NRG2	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
MAP2K1	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
FGFR4	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
ETV6	BRAF	0.0001072171633037	0.7843866171003717	36	Skin
GNAT1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNG5	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
RIC8B	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNA11	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNA13	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
PLCB1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GRK2	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNG4	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNB5	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
RGS4	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNG12	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAI3	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
PAK3	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
CYTH2	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
ZDHHC17	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNG3	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
EFR3A	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAI1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNB2	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
NRAS	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAS	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAQ	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNB4	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
RIC8A	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
CACNA1D	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
CYTH1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNA12	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
IPCEF1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNA14	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAO1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
ARHGEF1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAZ	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
CYTH3	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
RGS7	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNB3	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNB1	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
GNAT2	GNAQ	0.0041218359739535	0.6434316353887399	37	Skin
STAT5B	KIT	0.0004234802728139	0.7988475641697224	57	Skin
RAF1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL6R	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PATJ	KIT	0.0004234802728139	0.7988475641697224	57	Skin
TRPC3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
MPDZ	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL7R	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL4	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PDGFRB	KIT	0.0004234802728139	0.7988475641697224	57	Skin
USP4	KIT	0.0004234802728139	0.7988475641697224	57	Skin
CRKL	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PAX3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
JAK2	KIT	0.0004234802728139	0.7988475641697224	57	Skin
TRPC6	KIT	0.0004234802728139	0.7988475641697224	57	Skin
CSF2RB	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PLCG1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
MEOX2	KIT	0.0004234802728139	0.7988475641697224	57	Skin
CBL	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PDGFB	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PDGFA	KIT	0.0004234802728139	0.7988475641697224	57	Skin
POMC	KIT	0.0004234802728139	0.7988475641697224	57	Skin
CCR4	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PDGFRA	KIT	0.0004234802728139	0.7988475641697224	57	Skin
GRB2	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
ALK	KIT	0.0004234802728139	0.7988475641697224	57	Skin
MEOX1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PIAS3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
STAT3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
FLT3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
KITLG	KIT	0.0004234802728139	0.7988475641697224	57	Skin
NTRK1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL2RB	KIT	0.0004234802728139	0.7988475641697224	57	Skin
SOX10	KIT	0.0004234802728139	0.7988475641697224	57	Skin
ERBB2	KIT	0.0004234802728139	0.7988475641697224	57	Skin
ERBB4	KIT	0.0004234802728139	0.7988475641697224	57	Skin
TFEB	KIT	0.0004234802728139	0.7988475641697224	57	Skin
DOK1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
CD28	KIT	0.0004234802728139	0.7988475641697224	57	Skin
KIT	KIT	0.0004234802728139	0.7988475641697224	57	Skin
RET	KIT	0.0004234802728139	0.7988475641697224	57	Skin
AMOT	KIT	0.0004234802728139	0.7988475641697224	57	Skin
CSF2	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PIK3R1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
JAK1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
TYRP1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
TFE3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
MITF	KIT	0.0004234802728139	0.7988475641697224	57	Skin
ERBB3	KIT	0.0004234802728139	0.7988475641697224	57	Skin
RASA1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
PTPN11	KIT	0.0004234802728139	0.7988475641697224	57	Skin
MPP5	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL10	KIT	0.0004234802728139	0.7988475641697224	57	Skin
SHC1	KIT	0.0004234802728139	0.7988475641697224	57	Skin
BCR	KIT	0.0004234802728139	0.7988475641697224	57	Skin
LIN7C	KIT	0.0004234802728139	0.7988475641697224	57	Skin
STAT5A	KIT	0.0004234802728139	0.7988475641697224	57	Skin
IL6ST	KIT	0.0004234802728139	0.7988475641697224	57	Skin
LZTR1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
ADNP	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
PRPF19	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
DDR2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SNRPF	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
BIRC6	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
INS	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CSNK2A2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
RAF1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HSPA1B	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SUPT16H	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SMU1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
NCL	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
KHDRBS1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CSNK2B	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HNRNPU	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
LATS1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HRAS	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
RPL7	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
TRRAP	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SIN3A	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
XRCC6	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SNW1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SNRNP200	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
STAG2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
U2AF2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CLIP1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
AKT1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CHD2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
RBBP4	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CDK2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HIST1H3A	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CSNK2A1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SMARCA5	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
