Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9646079719667104	0.0	1.0	0.3960047090893523	9.5	6.153499818849796e-06	47	apply	Skin	BRAF
1	0.9618882633174536	-0.0027197086492569	1.000301398170225	0.299168165676109	9.025	7.283249133372845e-06	49	apply	Skin	BRAF
2	0.9614120089980964	-0.0004762543193569	1.0000555495025023	0.1981080863071793	8.57375	7.902286439472085e-06	50	apply	Skin	BRAF
3	0.9623231183262436	0.000911109328147	0.999888145932391	0.9522724674199012	8.1450625	7.283249133372845e-06	49	apply	Skin	BRAF
4	0.9614120089980964	-0.000911109328147	1.0001177546417357	0.5678355637896296	7.737809374999999	7.902286439472085e-06	50	apply	Skin	BRAF
5	0.9612557294819684	-0.0001562795161281	1.000021260087259	0.4707103649964829	7.350918906249999	8.559344754960857e-06	51	apply	Skin	BRAF
6	0.9612291543215102	-2.657516045811992e-05	1.0000038054978837	0.4420679280619713	6.9833729609375	9.255887408111877e-06	52	apply	Skin	BRAF
7	0.9621167077210566	0.0008875533995463	0.9998662244950692	0.4390407447814713	6.634204312890624	8.559344754960857e-06	51	apply	Skin	BRAF
8	0.9631975350907224	0.0010808273696657	0.9998285226956726	0.7361972381027048	6.302494097246092	7.902286439472085e-06	50	apply	Skin	BRAF
9	0.9625754869439482	-0.0006220481467741	1.0001038987943571	0.0915406137772204	5.987369392383788	8.559344754960857e-06	51	apply	Skin	BRAF
10	0.9601187950784896	-0.0024566918654586	1.0004320010681047	0.8866945145636692	5.688000922764598	9.255887408111877e-06	52	apply	Skin	BRAF
11	0.9615122615803816	0.0013934665018918	0.9997421558554392	0.6852183099256233	5.403600876626368	8.559344754960857e-06	51	apply	Skin	BRAF
12	0.9624413145539906	0.0009290529736091	0.999819035115501	0.479150167372129	5.133420832795049	7.902286439472085e-06	50	apply	Skin	BRAF
13	0.9610303203117574	-0.0014109942422332	1.0002893727266002	0.6049620861309895	4.876749791155296	7.283249133372845e-06	49	apply	Skin	BRAF
14	0.9602046617396248	-0.0008256585721325	1.0001782317677277	0.0106918618455925	4.632912301597531	7.902286439472085e-06	50	apply	Skin	BRAF
15	0.9602711353794012	6.647363977640985e-05	0.9999848968166376	0.5037281594170422	4.401266686517654	8.559344754960857e-06	51	apply	Skin	BRAF
16	0.9597365945437442	-0.000534540835657	1.0001278519509684	0.0806283915995017	4.181203352191771	9.255887408111877e-06	52	apply	Skin	BRAF
17	0.9589079650999156	-0.0008286294438285	1.0002086319252836	0.0868621189487318	3.972143184582182	9.993400534950886e-06	53	apply	Skin	BRAF
18	0.9573026788463512	-0.0016052862535643	1.0004254968657242	0.0230380384650463	3.773536025353073	9.255887408111877e-06	52	apply	Skin	BRAF
19	0.9584618548221264	0.001159175975775	0.999676698996571	0.8389122763344858	3.584859224085419	8.559344754960857e-06	51	apply	Skin	BRAF
20	0.958851969961938	0.0003901151398117	0.9998854560330332	0.3138134957120178	3.405616262881148	7.902286439472085e-06	50	apply	Skin	BRAF
21	0.9581194826524329	-0.0007324873095053	1.0002264279069486	0.3919613975854158	3.2353354497370903	8.559344754960857e-06	51	apply	Skin	BRAF
22	0.9588842975206612	0.0007648148682284	0.9997511948488402	0.4436923927129484	3.073568677250236	7.902286439472085e-06	50	apply	Skin	BRAF
23	0.961081922553026	0.0021976250323647	0.99924764355956	0.4801764443230205	2.919890243387724	8.559344754960857e-06	51	apply	Skin	BRAF
24	0.9596851602994816	-0.0013967622535442	1.0005036649209182	0.8201832897727799	2.773895731218337	9.255887408111877e-06	52	apply	Skin	BRAF
25	0.9596851602994816	0.0	1.0	0.4066785759305201	2.6352009446574205	9.255887408111877e-06	52	apply	Skin	BRAF
26	0.9582938388625593	-0.0013913214369224	1.00055591810972	0.9554208723297744	2.503440897424549	9.993400534950886e-06	53	apply	Skin	BRAF
27	0.9598547122921048	0.0015608734295454	0.999343908770374	0.9686018773229228	2.378268852553321	9.255887408111877e-06	52	apply	Skin	BRAF
28	0.9592691282832128	-0.0005855840088919	1.0002592154821066	0.925366031598084	2.2593554099256554	9.993400534950886e-06	53	apply	Skin	BRAF
29	0.9603424178895876	0.0010732896063749	0.9995000803745624	0.8481510637414624	2.1463876394293724	1.1597395260642722e-05	55	apply	Skin	BRAF
30	0.9632946961714084	0.0029522782818207	0.9985531911134208	0.4667347043108273	2.039068257457904	0.0003608828727023	54	apply	Skin	BRAF
31	0.9674680744809874	0.0041733783095788	0.9978478891314528	0.7286585998112068	1.9371148445850084	0.0003810339579393	55	apply	Skin	BRAF
32	0.9680137084106812	0.0005456339296937	0.9997035455240034	0.7813775393261074	1.840259102355758	0.0003608828727023	54	apply	Skin	BRAF
33	0.9666927620809906	-0.0013209463296904	1.000755869246595	0.3171029280909813	1.74824614723797	1.4349102500982084e-05	58	apply	Skin	BRAF
34	0.9665979674507852	-9.479463020534153e-05	1.0000570781575224	0.8874619859012928	1.6608338398760714	1.5364892545534406e-05	59	apply	Skin	BRAF
35	0.9672411337416322	0.0006431662908469	0.9995924461784362	0.0386197738999635	1.5777921478822676	1.4349102500982084e-05	58	apply	Skin	BRAF
36	0.9689289805269188	0.0016878467852864	0.9988745787053432	0.5298565733107516	1.4989025404881542	1.338366450078176e-05	57	apply	Skin	BRAF
37	0.9679258731290092	-0.0010031073979094	1.000704698603424	0.1597182684928784	1.4239574134637465	1.4349102500982084e-05	58	apply	Skin	BRAF
38	0.9693304535637148	0.0014045804347057	0.9989622313135628	0.0211703234254825	1.3527595427905592	1.338366450078176e-05	57	apply	Skin	BRAF
39	0.968413496051687	-0.0009169575120279	1.0007137727256783	0.8667997795248532	1.285121565651031	1.4349102500982084e-05	58	apply	Skin	BRAF
40	0.9674215903407872	-0.0009919057108996	1.0008127912310685	0.3283224659717292	1.2208654873684794	1.5364892545534406e-05	59	apply	Skin	BRAF
41	0.9684248295658414	0.001003239225054	0.999135380025532	0.513559574748904	1.1598222130000555	1.4349102500982084e-05	58	apply	Skin	BRAF
42	0.9696925963342472	0.0012677667684058	0.9988500617751794	0.9337562432721208	1.1018311023500529	1.338366450078176e-05	57	apply	Skin	BRAF
43	0.9729626183569592	0.0032700220227117	0.9968808672991082	0.5481151182136826	1.04673954723255	1.4349102500982084e-05	58	apply	Skin	BRAF
44	0.9732734541869764	0.0003108358300172	0.9996874633442152	0.5890035824075974	0.9944025698709223	1.338366450078176e-05	57	apply	Skin	BRAF
45	0.9730617608409988	-0.0002116933459775	1.0002241145358444	0.8738702161231938	0.9446824413773764	1.4349102500982084e-05	58	apply	Skin	BRAF
46	0.9754567466431872	0.0023949858021885	0.9973348961847164	0.7433606868786564	0.8974483193085074	1.338366450078176e-05	57	apply	Skin	BRAF
47	0.9759541142731084	0.000497367629921	0.9994167996287756	0.4476924576236875	0.852575903343082	1.2466960877618196e-05	56	apply	Skin	BRAF
48	0.9769050541113466	0.0009509398382383	0.9988266124923344	0.0323890834545639	0.8099471081759279	1.1597395260642722e-05	55	apply	Skin	BRAF
49	0.9763682978486232	-0.0005367562627233	1.0006978279228398	0.0742822368793157	0.7694497527671315	1.2466960877618196e-05	56	apply	Skin	BRAF
50	0.9770911325920544	0.0007228347434311	0.999011627988708	0.822664080836648	0.7309772651287748	0.0003226716510136	52	apply	Skin	BRAF
51	0.9758728040916166	-0.0012183285004379	1.0017559734893402	0.4769975050196359	0.694428401872336	0.0003414323460424	53	apply	Skin	BRAF
52	0.9748852132544116	-0.0009875908372048	1.0014981354637078	0.7261057604923568	0.6597069817787192	0.0003608828727023	54	apply	Skin	BRAF
53	0.974254660270812	-0.0006305529835998	1.0010066196234175	0.5158154255873899	0.6267216326897832	0.0003414323460424	53	apply	Skin	BRAF
54	0.9758785355699768	0.0016238752991648	0.9972762812245148	0.6082091610124346	0.595385551055294	0.0003226716510136	52	apply	Skin	BRAF
55	0.9767998526974776	0.0009213171275007	0.9983724528031936	0.5248350867874552	0.5656162735025293	0.0003045899723441	51	apply	Skin	BRAF
56	0.9758785355699768	-0.0009213171275007	1.001716074025874	0.9509074430845283	0.5373354598274028	0.0003226716510136	52	apply	Skin	BRAF
57	0.9758785355699768	0.0	1.0	0.9293282712830232	0.5104686868360326	0.0003226716510136	52	apply	Skin	BRAF
58	0.9767313019390582	0.0008527663690814	0.9982430655463936	0.4536652337875189	0.484945252494231	0.0003045899723441	51	apply	Skin	BRAF
59	0.9762254745318591	-0.000505827407199	1.0010985617667325	0.7006599893800198	0.4606979898695194	0.0002871764060153	50	apply	Skin	BRAF
60	0.9756175400523394	-0.0006079344795197	1.0013900118907868	0.5543248531673979	0.4376630903760434	0.0003045899723441	51	apply	Skin	BRAF
61	0.9756175400523394	0.0	1.0	0.7447686496203312	0.4157799358572412	0.0003045899723441	51	apply	Skin	BRAF
62	0.9749443561208267	-0.0006731839315126	1.0017057553613078	0.4064501958278306	0.3949909390643792	0.0003226716510136	52	apply	Skin	BRAF
63	0.9729746875594748	-0.001969668561352	1.0052628711128029	0.4330725266674847	0.3752413921111602	0.0003414323460424	53	apply	Skin	BRAF
64	0.9733842725246736	0.0004095849651989	0.998851687241022	0.1030005577946211	0.3564793225056022	0.0003226716510136	52	apply	Skin	BRAF
65	0.974638145254259	0.0012538727295853	0.9963043420577812	0.7805583580614125	0.338655356380322	0.0003045899723441	51	apply	Skin	BRAF
66	0.9752035529237602	0.0005654076695011	0.9982441048720172	0.0973778400836241	0.321722588561306	0.0003226716510136	52	apply	Skin	BRAF
67	0.9763373903198416	0.0011338373960813	0.9962971143356758	0.4838215369207023	0.3056364591332406	0.0003414323460424	53	apply	Skin	BRAF
68	0.977000813102567	0.0006634227827255	0.9977177376922524	0.8149347324090325	0.2903546361765786	0.0080105364638561	52	apply	Skin	BRAF
69	0.9765342960288808	-0.0004665170736861	1.0016927096917845	0.1450369486768303	0.2758369043677497	0.0077148493556698	51	apply	Skin	BRAF
70	0.976866711076122	0.000332415047241	0.998732262702094	0.4966528936600562	0.2620450591493622	0.0074242509484806	50	apply	Skin	BRAF
71	0.9782251437962202	0.0013584327200982	0.9945580548359284	0.475896475125395	0.2489428061918941	0.0077148493556698	51	apply	Skin	BRAF
72	0.9779047208450096	-0.0003204229512104	1.0013557970088114	0.3515578070002385	0.2364956658822994	0.0074242509484806	50	apply	Skin	BRAF
73	0.9783265042053052	0.0004217833602955	0.9981244223196556	0.2562591082690892	0.2246708825881844	0.007138767966782	49	apply	Skin	BRAF
74	0.9787130585120752	0.00038655430677	0.9981905486716018	0.0583709006531162	0.2134373384587752	0.006858427231764	48	apply	Skin	BRAF
75	0.9787130585120752	0.0	1.0	0.9300397332768072	0.2027654715358364	0.006858427231764	48	apply	Skin	BRAF
76	0.97819987049428	-0.000513188017795	1.0026677033981004	0.6124105036296221	0.1926271979590446	0.007138767966782	49	apply	Skin	BRAF
77	0.9770659488559892	-0.0011339216382909	1.0062156716415762	0.5880483557441757	0.1829958380610923	0.0074242509484806	50	apply	Skin	BRAF
78	0.9774106718741752	0.0003447230181861	0.9980190434450829	0.1123710214658336	0.1738460461580377	0.0077148493556698	51	apply	Skin	BRAF
79	0.9782896478686788	0.0008789759945035	0.9946919695000472	0.8328852022123944	0.1651537438501358	0.0074242509484806	50	apply	Skin	BRAF
80	0.977503285151117	-0.0007863627175619	1.0050245790424075	0.8428659703708485	0.156896056657629	0.0077148493556698	51	apply	Skin	BRAF
81	0.9781921618204804	0.0006888766693634	0.995388920282734	0.2292828172123717	0.1490512538247475	0.0074242509484806	50	apply	Skin	BRAF
82	0.977506832036998	-0.0006853297834823	1.0048516757879258	0.859820020702569	0.1415986911335101	0.0003414323460424	53	apply	Skin	BRAF
83	0.97838692672641	0.000880094689412	0.9934788132768853	0.3005621568819546	0.1345187565768346	0.0003226716510136	52	apply	Skin	BRAF
84	0.979081929110982	0.0006950023845718	0.9945762529973604	0.6398398809389153	0.1277928187479929	0.0003045899723441	51	apply	Skin	BRAF
85	0.9790310559006212	-5.08732103609022e-05	1.0004191312930286	0.367754114542282	0.1214031778105932	0.0003226716510136	52	apply	Skin	BRAF
