Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|MAP2K1|FGFR4|APOA1	Skin
1	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|MAP2K1|FGFR4|APOA1	Skin
2	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|MAP2K1|FGFR4|APOA1	Skin
3	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|MAP2K1|FGFR4|APOA1	Skin
4	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|MAP2K1|FGFR4|APOA1	Skin
5	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|MAP2K1|FGFR4|APOA1	Skin
6	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
7	BRAF	EGFR|SPEN|RRAS2|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
8	BRAF	EGFR|SPEN|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|GNAI3|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
9	BRAF	EGFR|SPEN|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
10	BRAF	EGFR|SPEN|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
11	BRAF	EGFR|SPEN|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|PPP2R2A|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
12	BRAF	EGFR|SPEN|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|MARK3|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
13	BRAF	EGFR|SPEN|PPP6C|SNCA|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
14	BRAF	EGFR|SPEN|PPP6C|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|NR1H4|HSP90AA1|IQGAP1|INS|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
15	BRAF	EGFR|SPEN|PPP6C|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|CHD9|NR1H4|HSP90AA1|IQGAP1|INS|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
16	BRAF	EGFR|SPEN|PPP6C|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|CHD9|NR1H4|HSP90AA1|IQGAP1|INS|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|NEDD4|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
17	BRAF	EGFR|SPEN|PPP6C|NRG1|MAPK7|NOTCH1|HBEGF|YWHAB|MAPK14|LIN7C|RAP1A|MAP2K2|ERBB4|ADIPOQ|CHD9|NR1H4|HSP90AA1|IQGAP1|INS|FGFR2|YWHAQ|PPP2CA|CDK2|HSPA1B|PPP2R2D|RACGAP1|FGFR3|BRAF|CTNNB1|CSNK2A2|GRB2|CCDC94|PTPN11|HLA-A|HSPA1A|MAPK1|CCNK|NEDD4|KRAS|MAPK13|RAF1|PPM1G|YWHAE|AKT1|S100B|ZCCHC8|YWHAG|TP53|NRG2|MAP2K1|FGFR4|APOA1	Skin
