Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.8784031114161519	0.0030919550459324	0.9996745840070704	0.7028167286215025	9.5	0.1201211190361282	50	refuse	Skin	EZH2
1	0.8717103425155054	-0.0036008138547141	1.000399061748529	0.8482245776678355	9.025	0.124715179234506	50	refuse	Skin	EZH2
2	0.8791478668113542	0.0038367104411346	0.9995526050893996	0.0583139677403931	8.57375	0.1201211190361282	50	refuse	Skin	EZH2
3	0.8718591564989693	-0.0034519998712502	1.0004239048477908	0.740910268238071	8.1450625	0.124715179234506	50	refuse	Skin	EZH2
4	0.8716631296772032	-0.0036480266930163	1.000471565864578	0.4163579849658592	7.737809374999999	0.124715179234506	50	refuse	Skin	EZH2
5	0.8818547754717968	0.0065436191015773	0.9991102190679384	0.6965080681583573	7.350918906249999	0.124715179234506	50	refuse	Skin	EZH2
6	0.8781796158504932	0.0028684594802736	0.9995893287585976	0.4172843175145556	6.9833729609375	0.1201211190361282	50	refuse	Skin	EZH2
7	0.8786975464343041	0.0033863900640845	0.9994896862125232	0.9327275780182526	6.634204312890624	0.1201211190361282	50	refuse	Skin	EZH2
8	0.8754176340676143	0.0001064776973948	0.999983105609254	0.3619641606417446	6.302494097246092	0.1201211190361282	50	refuse	Skin	EZH2
9	0.8721497002633201	-0.0031614561068994	1.000528160316161	0.1067558626734554	5.987369392383788	0.124715179234506	50	refuse	Skin	EZH2
10	0.8791592692285665	0.0038481128583469	0.999323697109242	0.8364098035944316	5.688000922764598	0.1201211190361282	50	refuse	Skin	EZH2
11	0.8787600459242251	0.0034488895540055	0.9993619460010474	0.2488927510706771	5.403600876626368	0.1201211190361282	50	refuse	Skin	EZH2
12	0.8787599930982918	0.0034488367280722	0.9993283857749472	0.7077559889359832	5.133420832795049	0.1201211190361282	50	refuse	Skin	EZH2
13	0.8786063921681543	0.0032952357979347	0.9993245249625452	0.0328201050843304	4.876749791155296	0.1201211190361282	50	refuse	Skin	EZH2
14	0.8716333017342329	-0.0036778546359865	1.0007941688989828	0.5639724262761446	4.632912301597531	0.124715179234506	50	refuse	Skin	EZH2
