Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9700788829449632	0.0015892052919389	0.999832729223744	0.9991236842223126	9.5	1.6432011323226638e-07	50	apply	Skin	GNAQ
1	0.9705096304488066	0.0004307475038433	0.9999522728837016	0.7571306565315485	9.025	1.481562712523435e-07	49	apply	Skin	GNAQ
2	0.971578850235305	0.0010692197864984	0.9998752992425888	0.7300794441167825	8.57375	1.332795210009653e-07	48	apply	Skin	GNAQ
3	0.9702880058330297	-0.0012908444022754	1.0001584943879032	0.2320009804866776	8.1450625	1.481562712523435e-07	49	apply	Skin	GNAQ
4	0.9713084795321636	0.0010204736991341	0.9998681272228545	0.2998473247496007	7.737809374999999	1.332795210009653e-07	48	apply	Skin	GNAQ
5	0.9718490083173384	0.0005405287851747	0.9999264705651856	0.279578325961501	7.350918906249999	1.1961273258541465e-07	47	apply	Skin	GNAQ
6	0.971517253971152	-0.0003317543461863	1.0000475074478166	0.7120779384561136	6.9833729609375	1.332795210009653e-07	48	apply	Skin	GNAQ
7	0.9726407246510768	0.0011234706799246	0.9998306691345146	0.8594404069855354	6.634204312890624	1.1961273258541465e-07	47	apply	Skin	GNAQ
8	0.9721812822402358	-0.0004594424108409	1.0000729011642835	0.9685816706558174	6.302494097246092	1.332795210009653e-07	48	apply	Skin	GNAQ
9	0.9725201666518926	0.0003388844116567	0.99994340171798	0.3478956953125595	5.987369392383788	1.481562712523435e-07	49	apply	Skin	GNAQ
10	0.9733260253950854	0.0008058587431928	0.99985833306446	0.2335012203048413	5.688000922764598	1.332795210009653e-07	48	apply	Skin	GNAQ
11	0.97734375	0.0040177246049145	0.9992567490784702	0.3368872105431397	5.403600876626368	1.481562712523435e-07	49	apply	Skin	GNAQ
12	0.9783500862427884	0.0010063362427883	0.999803983027527	0.4665059019340238	5.133420832795049	1.6432011323226638e-07	50	apply	Skin	GNAQ
13	0.9782743288118422	-7.575743094612175e-05	1.0000155345307054	0.4565807758893531	4.876749791155296	1.8185123248190685e-07	51	apply	Skin	GNAQ
14	0.978082191780822	-0.0001921370310202	1.000041473052529	0.1082756271737108	4.632912301597531	2.0083291714697345e-07	52	apply	Skin	GNAQ
15	0.9786038469850876	0.0005216552042656	0.9998814831437536	0.5252503524568884	4.401266686517654	1.8185123248190685e-07	51	apply	Skin	GNAQ
16	0.9778641615376308	-0.0007396854474566	1.0001769229613788	0.2442082787708995	4.181203352191771	2.0083291714697345e-07	52	apply	Skin	GNAQ
