Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|GNG12|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|GNA12|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2|PRKCD	Skin
1	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|GNG12|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2|PRKCD	Skin
2	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|GNG12|RRAS2|LYN|CYTH2|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
3	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|GNG12|RRAS2|LYN|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
4	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|GNG12|RRAS2|LYN|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|ACTR3|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
5	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|ACTR3|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|GNA14|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
6	GNAQ	GNAT1|MAP2K2|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|ACTR3|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
7	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|ACTR3|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
8	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
9	GNAQ	GNAT1|MAP2K2|FYTTD1|HSPA1B|IFNG|MYO1C|ARRB2|PRKACA|GNA13|GRK2|GNG4|GNB5|MAPK3|RGS4|RRAS2|LYN|HRG|RAC1|SNCA|PRKACB|CFTR|GNB2|PPP3R1|HSP90AA1|GNAQ|APOA1|HLA-A|GNB4|RIC8A|PAK2|TP53|APOA4|CACNA1D|HSPA1A|KRAS|CYTH1|BRAF|IPCEF1|MAP2K1|ARHGEF1|GNAZ|CYTH3|RGS7|GNB3|ACTB|ITGB2|GNB1|GNAT2	Skin
