Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9790605546123372	-0.0011779462394514	1.0001240020286108	0.4373791414917252	9.5	0.0002097423533165	45	apply	Skin	KIT
1	0.9790605546123372	0.0	1.0	0.7719533111343995	9.025	0.0002097423533165	45	apply	Skin	KIT
2	0.979591836734694	0.0005312821223565	0.9999380357880802	0.1347719799073357	8.57375	0.0001961034535032	44	apply	Skin	KIT
3	0.9800910125142208	0.0004991757795268	0.9999387161874236	0.7534225441524145	8.1450625	0.0050422984170961	41	apply	Skin	KIT
4	0.9797194844579228	-0.000371528056298	1.0000480157829983	0.9216603375452248	7.737809374999999	0.005285884247247	42	apply	Skin	KIT
5	0.9792309851248948	-0.0004884993330279	1.000066456394232	0.936772177981015	7.350918906249999	0.0055348028046737	43	apply	Skin	KIT
6	0.9769431015247304	-0.0022878836001642	1.000327672377034	0.0419918690897876	6.9833729609375	0.0057890265832529	44	apply	Skin	KIT
7	0.9767614798289644	-0.0001816216957659	1.0000273769352452	0.5187788111607192	6.634204312890624	0.0060485281753701	45	apply	Skin	KIT
8	0.978336629933126	0.0015751501041616	0.99975010634494	0.7724871005091558	6.302494097246092	0.0057890265832529	44	apply	Skin	KIT
9	0.9785209609043806	0.0001843309712544	0.9999692138363716	0.7463420619887026	5.987369392383788	0.0055348028046737	43	apply	Skin	KIT
10	0.97793615151811	-0.0005848093862705	1.0001028198586297	0.8578518387570162	5.688000922764598	0.005285884247247	42	apply	Skin	KIT
11	0.9784988272087568	0.0005626756906468	0.999895875656092	0.3682444214918888	5.403600876626368	0.0991577991204978	42	refuse	Skin	KIT
12	0.9784862116174458	0.0005500600993357	0.9998928530022998	0.6707418008114446	5.133420832795049	0.0050422984170961	41	apply	Skin	KIT
13	0.9760629203237206	-0.0024232912937252	1.0004970305167404	0.412841796467648	4.876749791155296	0.0048040729200099	40	apply	Skin	KIT
14	0.9779563719862228	0.0018934516625022	0.9995913877342956	0.8940805491398297	4.632912301597531	0.0045712354606508	39	apply	Skin	KIT
15	0.9760492700729928	-0.00190710191323	1.000433401402271	0.587217802539666	4.401266686517654	0.0001961034535032	44	apply	Skin	KIT
