Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	KIT	ADIPOQ|PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|POMC|CCR4|GRB2|PTCH1|IL3|ALK|TRIM28|PIAS3|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TYRP1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1|CD63	Skin
1	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|POMC|GRB2|PTCH1|IL3|ALK|TRIM28|PIAS3|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TYRP1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1|CD63	Skin
2	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|POMC|GRB2|PTCH1|IL3|ALK|TRIM28|PIAS3|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TYRP1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1|CD63	Skin
3	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|POMC|GRB2|PTCH1|IL3|ALK|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TYRP1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1|CD63	Skin
4	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|GRB2|PTCH1|IL3|ALK|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1	Skin
5	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|GRB2|PTCH1|IL3|ALK|MEOX1|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1	Skin
6	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|GRB2|LYN|PTCH1|IL3|ALK|MEOX1|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TFE3|ERBB3|APOA4|TNF|IL10|IL6ST|HINT1	Skin
7	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|GRB2|LYN|PTCH1|IL3|ALK|MEOX1|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TFE3|ERBB3|APOA4|TNF|IL10|SHC1|IL6ST|HINT1	Skin
8	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|PDGFA|GRB2|LYN|PTCH1|IL3|ALK|MEOX1|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|STAT1|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TFE3|ERBB3|APOA4|TNF|IL10|SHC1|IL6ST|HINT1	Skin
9	KIT	PSMD14|INS|STAT5B|PATJ|CSF1R|DAB2|MPDZ|IL4|PDGFRB|CRKL|PAX3|JAK2|PLCG1|CBL|PDGFB|PDGFA|GRB2|LYN|PTCH1|IL3|ALK|MEOX1|TRIM28|FN1|STAT3|FLT3|IL2RB|SOX10|TFEB|CD40|ITGA4|DOK1|KIT|WNT3A|MYC|PIK3R1|TFE3|ERBB3|APOA4|TNF|IL10|SHC1|IL6ST|HINT1	Skin
