Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9705559906029756	-7.370864514455455e-05	1.0000077588348515	0.2849207988063771	9.5	0.0074242509485053	50	apply	Skin	LZTR1
1	0.9706728004600343	0.0001168098570587	0.9999870571633096	0.734858443084595	9.025	0.007138767966872	49	apply	Skin	LZTR1
2	0.9715245016787794	0.0008517012187448	0.9999006666957988	0.4101248840373733	8.57375	0.0068584272317399	48	apply	Skin	LZTR1
3	0.973153786774166	0.0016292850953865	0.999799986537798	0.7366936027725105	8.1450625	0.0065832556617286	47	apply	Skin	LZTR1
4	0.9735429283167976	0.0003891415426318	0.9999497103458104	0.3688092723090573	7.737809374999999	0.0063132802718023	46	apply	Skin	LZTR1
5	0.9739574320816752	0.0004145037648773	0.9999436135694244	0.854907582797535	7.350918906249999	0.0060485281753701	45	apply	Skin	LZTR1
6	0.9738743025217352	-8.312955993972082e-05	1.0000119039975657	0.8029107348018172	6.9833729609375	0.0063132802718023	46	apply	Skin	LZTR1
7	0.9739563054293748	8.200290763948903e-05	0.999987639452002	0.2957032310525446	6.634204312890624	0.0060485281753701	45	apply	Skin	LZTR1
8	0.9709122019035398	-0.003044103525835	1.0004831164849912	0.3622023582830557	6.302494097246092	0.0057890265832529	44	apply	Skin	LZTR1
9	0.96943437844651	-0.0014778234570296	1.0002468539613898	0.8133180991598692	5.987369392383788	0.0060485281753701	45	apply	Skin	LZTR1
10	0.9688581314878892	-0.0005762469586209	1.000101314355781	0.7719345585052768	5.688000922764598	0.0002239820539515	46	apply	Skin	LZTR1
11	0.9688052407195592	-5.2890768330149385e-05	1.0000097881076688	0.8642966755109721	5.403600876626368	0.0002388340008285	47	apply	Skin	LZTR1
12	0.9682067586277628	-0.0005984820917963	1.000116592229586	0.5383784587638646	5.133420832795049	0.0002543095480442	48	apply	Skin	LZTR1
13	0.9662528502660248	-0.0019539083617379	1.0004007381805768	0.7359704454012643	4.876749791155296	0.0002704199588423	49	apply	Skin	LZTR1
14	0.964365477194898	-0.0018873730711268	1.0004074667170415	0.8024112214023083	4.632912301597531	0.0002871764060153	50	apply	Skin	LZTR1
15	0.9661102425740078	0.0017447653791098	0.9996036551029318	0.9443562014794834	4.401266686517654	0.0002704199588423	49	apply	Skin	LZTR1
