Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.971319449448728	0.0007185603048874	0.9999243649336456	0.436126698154035	9.5	1.481562712523435e-07	49	apply	Skin	MAP2K1
1	0.9721098265895952	0.0007903771408672	0.9999124274202016	0.7087604414762128	9.025	1.332795210009653e-07	48	apply	Skin	MAP2K1
2	0.972720533728688	0.0006107071390926	0.9999287726619842	0.7469476170103301	8.57375	1.1961273258541465e-07	47	apply	Skin	MAP2K1
3	0.970716556977002	-0.0020039767516858	1.0002460660426964	0.8775421851820644	8.1450625	2.0783521951010127e-09	48	apply	Skin	MAP2K1
4	0.970912113027218	0.0001955560502158	0.999974727526922	0.1502865996556234	7.737809374999999	2.364118811263014e-09	49	apply	Skin	MAP2K1
5	0.9705348133198788	-0.000377299707339	1.0000513281938117	0.934660479836924	7.350918906249999	3.0338161563730533e-09	51	apply	Skin	MAP2K1
6	0.971153846153846	0.0006190328339672	0.9999113601118652	0.4509655337956919	6.9833729609375	2.681693422298165e-09	50	apply	Skin	MAP2K1
7	0.9715858881109374	0.0004320419570912	0.9999348787180798	0.0766700559398636	6.634204312890624	2.364118811263014e-09	49	apply	Skin	MAP2K1
8	0.97010302336543	-0.0014828647455074	1.00023530989195	0.1701618964541628	6.302494097246092	2.681693422298165e-09	50	apply	Skin	MAP2K1
9	0.971185064935065	0.0010820415696349	0.9998192956320272	0.2696112486507505	5.987369392383788	2.364118811263014e-09	49	apply	Skin	MAP2K1
10	0.9706697303507468	-0.0005153345843181	1.0000906044033318	0.565371577746351	5.688000922764598	2.681693422298165e-09	50	apply	Skin	MAP2K1
11	0.9717122263021896	0.0010424959514427	0.9998070924519888	0.3719002106536133	5.403600876626368	2.364118811263014e-09	49	apply	Skin	MAP2K1
12	0.9704926908500272	-0.0012195354521624	1.000237596013367	0.9214288529985254	5.133420832795049	2.681693422298165e-09	50	apply	Skin	MAP2K1
13	0.9697686080664804	-0.0007240827835467	1.0001484875320368	0.9829749279190986	4.876749791155296	2.364118811263014e-09	49	apply	Skin	MAP2K1
