Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|CCND1|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|GNAQ|HLA-A|CDK1|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|BMP2K|HSPA1A|KRAS|LAMTOR3|EGF|MAP2K1|SHC1|EGFR|IQGAP1	Skin
1	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|GNAQ|HLA-A|CDK1|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|BMP2K|HSPA1A|KRAS|LAMTOR3|EGF|MAP2K1|SHC1|EGFR|IQGAP1	Skin
2	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|GNAQ|HLA-A|CDK1|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|EGF|MAP2K1|SHC1|EGFR|IQGAP1	Skin
3	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|GNAQ|HLA-A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|EGF|MAP2K1|SHC1|EGFR|IQGAP1	Skin
4	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|GNAQ|HLA-A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|SHC1|EGFR|IQGAP1	Skin
5	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|SHC1|EGFR|IQGAP1	Skin
6	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|ARPC5|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|WNT3A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|SHC1|STAT5A|EGFR|IQGAP1	Skin
7	MAP2K1	MAP2K3|RB1|PPARG|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|WNT3A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|SHC1|STAT5A|EGFR|IQGAP1	Skin
8	MAP2K1	MAP2K3|RB1|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|WNT3A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|SHC1|STAT5A|EGFR|IQGAP1	Skin
9	MAP2K1	MAP2K3|RB1|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|WNT3A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|SHC1|STAT5A|CDC42|EGFR|IQGAP1	Skin
10	MAP2K1	MAP2K3|RB1|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|WNT3A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|STAT5A|CDC42|EGFR|IQGAP1	Skin
11	MAP2K1	MAP2K3|RB1|MAP2K2|MAPK11|INS|HSPA1B|IFNG|DAB2|MAPK7|PAK1|NOTCH2|PIM1|PPP2R2D|GRB2|MAPK14|MARK3|EFNB1|NOTCH1|CDK2|RAC1|CSNK2A1|SNCA|RAP1A|PPM1G|YWHAZ|NRAS|ERBB2|ERBB4|APOA1|GNAQ|HLA-A|WNT3A|MAP3K5|TP53|MAP2K4|ARAF|YWHAE|APOA4|SOS1|HSPA1A|KRAS|LAMTOR3|BRAF|EGF|MAP2K1|STAT5A|CDC42|EGFR|IQGAP1|MAPK8IP3	Skin
