Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.979636048526863	-0.0002035352580925	1.0000214249935215	0.2620687778555417	9.5	0.0002871764060153	50	apply	Skin	NRAS
1	0.9800076058021404	0.0003715572752774	0.9999588310662696	0.0357183265079665	9.025	0.0002704199588423	49	apply	Skin	NRAS
2	0.9801906384791522	0.0001830326770116	0.999978652197308	0.7515063249851552	8.57375	0.0002871764060153	50	apply	Skin	NRAS
3	0.9801906384791522	0.0	1.0	0.4594182135730109	8.1450625	0.0002871764060153	50	apply	Skin	NRAS
4	0.9791733078312612	-0.0010173306478908	1.0001314839224424	0.8995424607901794	7.737809374999999	0.0003045899723523	51	apply	Skin	NRAS
5	0.9788101922975048	-0.0003631155337564	1.0000493985183347	0.4737925902680573	7.350918906249999	0.000322671651016	52	apply	Skin	NRAS
6	0.9786441791698608	-0.0001660131276439	1.0000237729105794	0.2846602627345367	6.9833729609375	0.0002871764060153	50	apply	Skin	NRAS
7	0.9789496765705514	0.0003054974006905	0.9999539522220766	0.2719475742058912	6.634204312890624	0.0002704199588423	49	apply	Skin	NRAS
8	0.9781037880446682	-0.0008458885258831	1.0001342238930788	0.1211784430393965	6.302494097246092	0.0002871764060153	50	apply	Skin	NRAS
9	0.9771582523134592	-0.0009455357312091	1.0001579342000615	0.9191082957710552	5.987369392383788	0.0002704199588423	49	apply	Skin	NRAS
10	0.9768109152661476	-0.0003473370473116	1.000061066736326	0.6991500381568423	5.688000922764598	0.0002871764060153	50	apply	Skin	NRAS
11	0.9770424597364568	0.0002315444703092	0.9999571508860808	0.7708448786209676	5.403600876626368	0.0002704199588423	49	apply	Skin	NRAS
12	0.9765706958853012	-0.0004717638511554	1.0000919047054293	0.6516737310080355	5.133420832795049	0.0002871764060153	50	apply	Skin	NRAS
13	0.9764089121887288	-0.0001617836965726	1.0000331750422058	0.3413016778110281	4.876749791155296	0.0002704199588423	49	apply	Skin	NRAS
14	0.9746715024674476	-0.0017374097212812	1.0003750849197834	0.2245744168666371	4.632912301597531	7.902286439413995e-06	50	apply	Skin	NRAS
15	0.976138353765324	0.0014668512978764	0.99966677618198	0.8424202245528197	4.401266686517654	8.559344755162439e-06	51	apply	Skin	NRAS
16	0.9740090119506302	-0.0021293418146938	1.0005093950060069	0.9645949868608764	4.181203352191771	7.902286439413995e-06	50	apply	Skin	NRAS
17	0.9740090119506302	0.0	1.0	0.6811361712743131	3.972143184582182	7.902286439413995e-06	50	apply	Skin	NRAS
18	0.9748592379206494	0.0008502259700192	0.9997747125804276	0.3625338265448861	3.773536025353073	7.283249133494127e-06	49	apply	Skin	NRAS
19	0.9766419526277804	0.0017827147071308	0.9995028336104498	0.9384561196515966	3.584859224085419	0.0002543095480442	48	apply	Skin	NRAS
20	0.9749819896522366	-0.0016599629755437	1.000487538073019	0.8733940504444305	3.405616262881148	0.0002704199588423	49	apply	Skin	NRAS
21	0.9730754149784342	-0.0019065746738023	1.0005894710404897	0.420701312061037	3.2353354497370903	7.902286439413995e-06	50	apply	Skin	NRAS
22	0.9721426711793804	-0.0009327437990538	1.0003035186268516	0.659528534665271	3.073568677250236	8.559344755162439e-06	51	apply	Skin	NRAS
23	0.9735255570117956	0.0013828858324151	0.9995265032945124	0.3115076060408801	2.919890243387724	7.902286439413995e-06	50	apply	Skin	NRAS
24	0.9731394129979036	-0.000386144013892	1.0001392160807092	0.8262805704443005	2.773895731218337	8.559344755162439e-06	51	apply	Skin	NRAS
25	0.973549971660684	0.0004105586627803	0.9998442142777788	0.7527534215809065	2.6352009446574205	9.993400535211684e-06	53	apply	Skin	NRAS
26	0.9723915633102096	-0.0011584083504744	1.0004628335368768	0.5293017866916067	2.503440897424549	9.255887408067531e-06	52	apply	Skin	NRAS
27	0.973436401967674	0.0010448386574644	0.9995607690960476	0.6543711295606351	2.378268852553321	8.559344755162439e-06	51	apply	Skin	NRAS
28	0.972065088344158	-0.0013713136235158	1.0006071332825504	0.7357391060685943	2.2593554099256554	9.255887408067531e-06	52	apply	Skin	NRAS
29	0.9734848484848484	0.0014197601406904	0.9993387537938788	0.8656893655943436	2.1463876394293724	8.559344755162439e-06	51	apply	Skin	NRAS
30	0.9733482956936456	-0.0001365527912028	1.000066970472006	0.1017879533684279	2.039068257457904	9.255887408067531e-06	52	apply	Skin	NRAS
31	0.9745016826300804	0.0011533869364346	0.9994047623784698	0.0023155970160535	1.9371148445850084	9.993400535211684e-06	53	apply	Skin	NRAS
32	0.9747523791027384	0.000250696472658	0.9998637803790454	0.0904230142260845	1.840259102355758	9.255887408067531e-06	52	apply	Skin	NRAS
33	0.973360787594106	-0.0013915915086324	1.000796309779541	0.8748164426552557	1.74824614723797	9.993400535211684e-06	53	apply	Skin	NRAS
34	0.9742528140768534	0.0008920264827474	0.999463048649127	0.976133532329914	1.6608338398760714	9.255887408067531e-06	52	apply	Skin	NRAS
35	0.9754066363044892	0.0011538222276359	0.9992689782090836	0.9133762147370926	1.5777921478822676	8.559344755162439e-06	51	apply	Skin	NRAS
36	0.9720587081076838	-0.0033479281968055	1.0022360826237016	0.016230144873554	1.4989025404881542	7.902286439413995e-06	50	apply	Skin	NRAS
37	0.9725463280713796	0.0004876199636957	0.9996576186349904	0.4542217739377513	1.4239574134637465	8.559344755162439e-06	51	apply	Skin	NRAS
38	0.9733782129742962	0.0008318849029166	0.999385235037302	0.966823191381	1.3527595427905592	7.902286439413995e-06	50	apply	Skin	NRAS
39	0.9724631066484102	-0.0009151063258859	1.000712331223035	0.5521384682606575	1.285121565651031	8.559344755162439e-06	51	apply	Skin	NRAS
40	0.9728506787330315	0.0003875720846214	0.9996825935564254	0.1796752608091643	1.2208654873684794	7.902286439413995e-06	50	apply	Skin	NRAS
41	0.9725544311560872	-0.0002962475769445	1.000255457613557	0.4705030844354662	1.1598222130000555	8.559344755162439e-06	51	apply	Skin	NRAS
42	0.9718395616104728	-0.0007148695456143	1.0006490119024831	0.8242693448729969	1.1018311023500529	9.255887408067531e-06	52	apply	Skin	NRAS
43	0.9721376370280146	0.0002980754175418	0.9997152749396492	0.558890118875075	1.04673954723255	8.559344755162439e-06	51	apply	Skin	NRAS
44	0.9737770280631804	0.0016393910351658	0.9983527391607168	0.7114479858365335	0.9944025698709223	7.902286439413995e-06	50	apply	Skin	NRAS
45	0.96617681362258	-0.0076002144406005	1.008077708556085	0.783908558274383	0.9446824413773764	6.700792573212334e-06	48	apply	Skin	NRAS
46	0.9670291125920728	0.000852298969493	0.9990507593933364	0.8375631460162595	0.8974483193085074	6.1534998188787234e-06	47	apply	Skin	NRAS
47	0.9693576900412492	0.0023285774491763	0.9972725004336608	0.860629522677646	0.852575903343082	5.639977513624459e-06	46	apply	Skin	NRAS
48	0.96891557753444	-0.0004421125068091	1.0005460025582469	0.5002229315977298	0.8099471081759279	6.1534998188787234e-06	47	apply	Skin	NRAS
49	0.9684780051752528	-0.0004375723591872	1.000568843905664	0.6617281717104158	0.7694497527671315	6.700792573212334e-06	48	apply	Skin	NRAS
50	0.9709700259617654	0.0024920207865125	0.9965966414066229	0.8688617530749742	0.7309772651287748	6.1534998188787234e-06	47	apply	Skin	NRAS
51	0.9709700259617654	0.0	1.0	0.1638520136474345	0.694428401872336	6.1534998188787234e-06	47	apply	Skin	NRAS
52	0.9726646066080342	0.0016945806462688	0.9974346094071664	0.280453602572588	0.6597069817787192	5.639977513624459e-06	46	apply	Skin	NRAS
53	0.971275105091079	-0.0013895015169552	1.0022195547623474	0.8707036417621056	0.6267216326897832	6.1534998188787234e-06	47	apply	Skin	NRAS
54	0.9698260969710928	-0.001449008119986	1.0024366946703924	0.5317017789090791	0.595385551055294	1.332795210009653e-07	48	apply	Skin	NRAS
55	0.9718408191761694	0.0020147222050764	0.9964443416129826	0.8994454274440254	0.5656162735025293	1.1961273258541465e-07	47	apply	Skin	NRAS
56	0.9718408191761694	0.0	1.0	0.7945598228652735	0.5373354598274028	1.1961273258541465e-07	47	apply	Skin	NRAS
57	0.9724636045593048	0.0006227853831354	0.9987807173167188	0.2073072554947905	0.5104686868360326	1.332795210009653e-07	48	apply	Skin	NRAS
58	0.9731349452366193	0.0006713406773143	0.9986165939385112	0.8215364448418896	0.484945252494231	1.481562712523435e-07	49	apply	Skin	NRAS
59	0.9724636045593048	-0.0006713406773143	1.0014582873748492	0.0134532488625699	0.4606979898695194	1.332795210009653e-07	48	apply	Skin	NRAS
60	0.9725865532317144	0.0001229486724096	0.999719118638722	0.2915087803874949	0.4376630903760434	1.0708178406753733e-07	46	apply	Skin	NRAS
61	0.9717680272909068	-0.0008185259408075	1.0019705909194372	0.2911906197064721	0.4157799358572412	1.1961273258541465e-07	47	apply	Skin	NRAS
62	0.9727067758395632	0.0009387485486563	0.9976261888345056	0.2996138233489326	0.3949909390643792	1.0708178406753733e-07	46	apply	Skin	NRAS
63	0.977679776797768	0.0049730009582046	0.9868346268588772	0.9468520754344228	0.3752413921111602	1.332795210009653e-07	48	apply	Skin	NRAS
64	0.9766883174659668	-0.0009914593318012	1.0027851246848036	0.5681522301711794	0.3564793225056022	1.481562712523435e-07	49	apply	Skin	NRAS
65	0.9763387297633872	-0.0003495877025794	1.0010328146139555	0.8936631336430118	0.338655356380322	1.6432011323226638e-07	50	apply	Skin	NRAS
66	0.9756527875793932	-0.0006859421839942	1.0021343666075375	0.1517225453024592	0.321722588561306	1.8185123248190685e-07	51	apply	Skin	NRAS
67	0.9777050340617536	0.0020522464823603	0.9933078278362192	0.3461043397740838	0.3056364591332406	7.902286439413995e-06	50	apply	Skin	NRAS
68	0.9748223350253808	-0.0028826990363727	1.0099776485638643	0.9175534926734952	0.2903546361765786	7.283249133494127e-06	49	apply	Skin	NRAS
69	0.9764356781288184	0.0016133431034375	0.994168169233007	0.101642900030606	0.2758369043677497	7.902286439413995e-06	50	apply	Skin	NRAS
