Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|MYO5A|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|RET|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
1	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|MYO5A|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|RET|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
2	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|RET|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
3	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
4	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
5	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
6	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|RET|ARAF|APOA4|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
7	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|SAR1A|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
8	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|TRABD	Skin
9	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SNCA|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
10	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
11	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|RMDN1|EXD2|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
12	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
13	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|WNT3A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
14	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
15	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
16	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|IFNG|DAB2|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
17	NRAS	PPP2CB|RIN2|RAB8A|MAPK11|INS|NCK1|DAB2|MPP7|NUBPL|RDH13|HRAS|MAPK3|LETMD1|PPP2R2D|SPEN|OMA1|RAB5B|PXN|AKT1|TERT|GRAP2|RAB6A|SOAT1|CCNK|RAB5A|STEAP3|RBBP8|COQ8B|RAB5C|ERBB2|NRAS|ERBB4|EXD2|NR1H4|APOA1|GNAQ|HLA-A|ARAF|PPP2R2A|HSPA1A|TNF|PPP2CA|COQ9|RAP1B|BRAF|MAP2K1|MAPK1|RAB7A|RAB8B|TRABD	Skin
