Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9583096456319878	-0.0003845582321028	1.0000404806332244	0.5907583983750754	9.5	0.124715179234506	50	refuse	Skin	RAC1
1	0.9593253012048192	0.0006310973407286	0.9999300747617004	0.5968349637697646	9.025	0.1201211190361282	50	refuse	Skin	RAC1
2	0.9576311081819038	-0.0010630956821868	1.0001240019354174	0.1483930718621582	8.57375	0.124715179234506	50	refuse	Skin	RAC1
3	0.9579688094332446	-0.000725394430846	1.000089063372246	0.526411125595298	8.1450625	0.124715179234506	50	refuse	Skin	RAC1
4	0.9596036585365854	0.0009094546724947	0.9998824730379552	0.5720646892246196	7.737809374999999	0.1201211190361282	50	refuse	Skin	RAC1
5	0.9591443438042012	0.0004501399401105	0.9999387660013972	0.4223889927640175	7.350918906249999	0.1201211190361282	50	refuse	Skin	RAC1
6	0.9600959232613908	0.0014017193973002	0.9997992977410328	0.1815360291553048	6.9833729609375	0.1201211190361282	50	refuse	Skin	RAC1
7	0.9471947194719472	-0.0114994843921434	1.0017348661573784	0.4931192875552993	6.634204312890624	0.1201211190361282	50	refuse	Skin	RAC1
8	0.9607430103408656	0.0020488064767749	0.9996749741499802	0.3685482778175349	6.302494097246092	0.1201211190361282	50	refuse	Skin	RAC1
9	0.9593253012048192	0.0006310973407286	0.9998946007770352	0.5556027970884474	5.987369392383788	0.1201211190361282	50	refuse	Skin	RAC1
10	0.9579306424104604	-0.0007635614536302	1.0001342497508037	0.9573860883278356	5.688000922764598	0.124715179234506	50	refuse	Skin	RAC1
11	0.957490830433556	-0.0012033734305347	1.0002227232289445	0.013348385453488	5.403600876626368	0.124715179234506	50	refuse	Skin	RAC1
12	0.9604796163069544	0.0017854124428637	0.9996522587856582	0.4564237304074213	5.133420832795049	0.1201211190361282	50	refuse	Skin	RAC1
13	0.9591443438042012	0.0004501399401105	0.999907700992396	0.1336011920632608	4.876749791155296	0.1201211190361282	50	refuse	Skin	RAC1
14	0.9582938388625593	-0.0004003650015313	1.000086421299444	0.8250084600872934	4.632912301597531	0.124715179234506	50	refuse	Skin	RAC1
15	0.9572892938496584	-0.0014049100144323	1.0003192567881276	0.8356590166470315	4.401266686517654	0.124715179234506	50	refuse	Skin	RAC1
16	0.9599351330725936	0.001240929208503	0.9997032564608744	0.7154334100402318	4.181203352191771	0.1201211190361282	50	refuse	Skin	RAC1
17	0.9598655784925588	0.0011713746284681	0.9997051460953535	0.1746227437124415	3.972143184582182	0.1201211190361282	50	refuse	Skin	RAC1
18	0.9608219704244286	0.0021277665603379	0.999436293499846	0.4315341499609014	3.773536025353073	0.1201211190361282	50	refuse	Skin	RAC1
19	0.9604606525911707	0.0017664487270802	0.9995073687759948	0.6665508287617156	3.584859224085419	0.1201211190361282	50	refuse	Skin	RAC1
20	0.9607690813750244	0.0020748775109336	0.9993909338522504	0.2454801061128947	3.405616262881148	0.1201211190361282	50	refuse	Skin	RAC1
21	0.9607430103408656	0.0020488064767749	0.9993669411000616	0.2988589411095597	3.2353354497370903	0.1201211190361282	50	refuse	Skin	RAC1
22	0.9590140164330596	0.0003198125689688	0.9998959528923947	0.255793476831455	3.073568677250236	0.1201211190361282	50	refuse	Skin	RAC1
23	0.9596687773989284	0.0009745735348377	0.9996662850896062	0.0711319337030719	2.919890243387724	0.1201211190361282	50	refuse	Skin	RAC1
24	0.96104897801774	0.0023547741536493	0.9991514551466146	0.5238382784011237	2.773895731218337	0.1201211190361282	50	refuse	Skin	RAC1
25	0.9566201433421352	-0.0020740605219555	1.0007873695344132	0.8146061828400903	2.6352009446574205	0.124715179234506	50	refuse	Skin	RAC1
26	0.957787618957882	-0.0009065849062087	1.0003622011129814	0.1465757678874034	2.503440897424549	0.124715179234506	50	refuse	Skin	RAC1
27	0.9592147894034686	0.0005205855393779	0.999781131318772	0.3355679103773826	2.378268852553321	0.1201211190361282	50	refuse	Skin	RAC1
28	0.9597520267048164	0.0010578228407257	0.9995319128455316	0.1788779774275979	2.2593554099256554	0.1201211190361282	50	refuse	Skin	RAC1
29	0.9590046715606826	0.0003104676965919	0.9998553638504426	0.3864579280650024	2.1463876394293724	0.1201211190361282	50	refuse	Skin	RAC1
30	0.9583096456319878	-0.0003845582321028	1.000188612860737	0.4951502434780409	2.039068257457904	0.124715179234506	50	refuse	Skin	RAC1
31	0.9592073465442242	0.0005131426801335	0.99973513458859	0.7832639319213605	1.9371148445850084	0.1201211190361282	50	refuse	Skin	RAC1
32	0.9584317430325932	-0.0002624608314973	1.0001426318437183	0.5711264638547051	1.840259102355758	0.124715179234506	50	refuse	Skin	RAC1
33	0.962187711006077	0.0034935071419863	0.9980037027698698	0.3611283140607026	1.74824614723797	0.1201211190361282	50	refuse	Skin	RAC1
