Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9781519705474078	0.0002240969495305	0.9999764111256396	0.8799986315007272	9.5	0.0002871764060153	50	apply	Skin	RYR2
1	0.9790256353345912	0.0008736647871833	0.9999031997228804	0.2776336161960641	9.025	0.0003045899723523	51	apply	Skin	RYR2
2	0.9785148679328868	-0.0005107674017044	1.0000595751702674	0.7159532589210857	8.57375	0.000322671651016	52	apply	Skin	RYR2
3	0.9790512081578364	0.0005363402249497	0.999934153658522	0.7453750893719735	8.1450625	0.0077148493559712	51	apply	Skin	RYR2
4	0.9795941503230926	0.0005429421652561	0.9999298350358656	0.9099788856487347	7.737809374999999	0.0074242509485053	50	apply	Skin	RYR2
5	0.9797006123837604	0.0001064620606678	0.999985517281432	0.3633677462132256	7.350918906249999	0.007138767966872	49	apply	Skin	RYR2
6	0.9806971727035312	0.0009965603197708	0.999857305456576	0.2512935562075967	6.9833729609375	0.0065832556617286	47	apply	Skin	RYR2
7	0.9766312594840668	-0.0040659132194644	1.0006130591134843	0.6823920895713423	6.634204312890624	0.0060485281753701	45	apply	Skin	RYR2
8	0.9775822928490352	0.0009510333649683	0.9998491134462932	0.6876523384114867	6.302494097246092	0.0063132802718023	46	apply	Skin	RYR2
9	0.977084659452578	-0.0004976333964572	1.00008311731656	0.9679019060760896	5.987369392383788	0.0065832556617286	47	apply	Skin	RYR2
10	0.9753051576942072	-0.0017795017583706	1.0003129008190752	0.4967938642919089	5.688000922764598	0.0068584272317399	48	apply	Skin	RYR2
11	0.9756782039289056	0.0003730462346981	0.9999309657825236	0.0958927351050457	5.403600876626368	0.0065832556617286	47	apply	Skin	RYR2
12	0.9754601226993864	-0.0002180812295189	1.0000424835346682	0.0459528746720531	5.133420832795049	0.0068584272317399	48	apply	Skin	RYR2
13	0.97713230594418	0.0016721832447935	0.999657169905646	0.4580164960839671	4.876749791155296	0.0065832556617286	47	apply	Skin	RYR2
14	0.9780876494023903	0.0009553434582103	0.9997938132856666	0.4128901303187178	4.632912301597531	0.0063132802718023	46	apply	Skin	RYR2
15	0.9775470109458322	-0.0005406384565582	1.0001228445585406	0.1343787545813181	4.401266686517654	0.0065832556617286	47	apply	Skin	RYR2
16	0.9780876494023903	0.0005406384565582	0.9998707062394054	0.3655947884557212	4.181203352191771	0.0063132802718023	46	apply	Skin	RYR2
17	0.9771689497716894	-0.000918699630701	1.00023131237652	0.0870421553587446	3.972143184582182	0.0060485281753701	45	apply	Skin	RYR2
18	0.978347057029582	0.0011781072578926	0.999687846262731	0.6024903193027737	3.773536025353073	0.0057890265832529	44	apply	Skin	RYR2
19	0.9770499278060644	-0.0012971292235178	1.0003619009407092	0.2778877301680937	3.584859224085419	0.0065832556617286	47	apply	Skin	RYR2
20	0.9761292996270204	-0.0009206281790439	1.0002703629987235	0.8301288049262502	3.405616262881148	0.0063132802718023	46	apply	Skin	RYR2
21	0.9756013745704468	-0.0005279250565736	1.0001631880647737	0.7994956652428846	3.2353354497370903	0.0060485281753701	45	apply	Skin	RYR2
