Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|EPB41L1|KCTD5|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|TRIM63|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|SNRPC|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
1	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|EPB41L1|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|TRIM63|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|SNRPC|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
2	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|EPB41L1|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|TRIM63|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|SNRPC|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
3	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|EPB41L1|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|TRIM63|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|SNRPC|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
4	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|EPB41L1|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|SNRPC|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
5	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|EPB41L1|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
6	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|ITPR1|S100A1|MYH7|TRDN|FGF10|MTOR|ITPR2|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
7	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ERLIN2|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|TNF|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
8	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
9	RYR2	ADIPOQ|ATP6V1C1|ACTA1|RYR1|KLHL41|IFNG|DAB2|RPTOR|ARPC3|FKBP1A|PLN|TNNT1|MYOZ1|SOD1|AKT1|HIST1H4A|CACNA1S|CAPZA2|TMOD4|PIN1|SNCA|KLHL40|HOMER3|PRKG1|IL2|PPIA|RYR2|NR1H4|APOA1|S100A1|MYH7|TRDN|FGF10|MTOR|AKAP6|HSPA1A|NOP10|PSMF1|TCAP|TTN|TGFB1|ACTN2|BCL2|GLMN|CAV3|SNRPB2	Skin
