Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.882765737874097	-0.0030001029198513	1.0003158501775191	0.1172886933868432	9.5	0.124715179234506	50	refuse	Skin	SF3B1
1	0.8896580658695196	0.0038922250755712	0.999568821507658	0.1162793799772478	9.025	0.1201211190361282	50	refuse	Skin	SF3B1
2	0.8894190289082234	0.0036531881142751	0.9995740008827456	0.6222399002862743	8.57375	0.1201211190361282	50	refuse	Skin	SF3B1
3	0.8889436967091818	0.0031778559152335	0.9996099187619562	0.6214684312376271	8.1450625	0.1201211190361282	50	refuse	Skin	SF3B1
4	0.8882751870237013	0.002509346229753	0.999675755854692	0.9855854072749812	7.737809374999999	0.1201211190361282	50	refuse	Skin	SF3B1
5	0.8890683142596363	0.003302473465688	0.9995508409514045	0.5845855032500629	7.350918906249999	0.1201211190361282	50	refuse	Skin	SF3B1
6	0.8885139884718122	0.0027481476778639	0.9996065501543976	0.3504232554088498	6.9833729609375	0.1201211190361282	50	refuse	Skin	SF3B1
7	0.882765737874097	-0.0030001029198513	1.0004523197101003	0.5896501764789857	6.634204312890624	0.124715179234506	50	refuse	Skin	SF3B1
8	0.8894359262906175	0.0036700854966692	0.999417846798368	0.9554620780429636	6.302494097246092	0.1201211190361282	50	refuse	Skin	SF3B1
9	0.8862724110248863	0.000506570230938	0.9999153971020018	0.5055587694195339	5.987369392383788	0.124715179234506	50	refuse	Skin	SF3B1
10	0.8890694552391719	0.0033036144452236	0.999419364500935	0.6960142557762679	5.688000922764598	0.1201211190361282	50	refuse	Skin	SF3B1
11	0.8883415435139573	0.002575702720009	0.9995234494545808	0.7515592010902884	5.403600876626368	0.1201211190361282	50	refuse	Skin	SF3B1
12	0.8817747440273037	-0.0039910967666445	1.000777775441387	0.70303363798135	5.133420832795049	0.124715179234506	50	refuse	Skin	SF3B1
13	0.888983170697214	0.0032173299032657	0.999340489261796	0.1379756857658917	4.876749791155296	0.1201211190361282	50	refuse	Skin	SF3B1
14	0.8879920702350609	0.0022262294411126	0.9995195905938612	0.2010984566836381	4.632912301597531	0.1201211190361282	50	refuse	Skin	SF3B1
15	0.8817747440273037	-0.0039910967666445	1.000907217665771	0.925418406043464	4.401266686517654	0.124715179234506	50	refuse	Skin	SF3B1
16	0.8817747440273037	-0.0039910967666445	1.0009549887564404	0.035019583535953	4.181203352191771	0.124715179234506	50	refuse	Skin	SF3B1
17	0.8821583626214596	-0.0036074781724886	1.0009086069274276	0.8386915488330521	3.972143184582182	0.124715179234506	50	refuse	Skin	SF3B1
18	0.881683575541541	-0.0040822652524072	1.0010823996770972	0.9935913350220744	3.773536025353073	0.124715179234506	50	refuse	Skin	SF3B1
19	0.8815700122232786	-0.0041958285706696	1.0011711157201348	0.0737055852798234	3.584859224085419	0.124715179234506	50	refuse	Skin	SF3B1
20	0.8821583626214596	-0.0036074781724886	1.0010598344679016	0.1095783785447757	3.405616262881148	0.124715179234506	50	refuse	Skin	SF3B1
21	0.881683575541541	-0.0040822652524072	1.001262571331306	0.7378086683593874	3.2353354497370903	0.124715179234506	50	refuse	Skin	SF3B1
22	0.8887409794717298	0.0029751386777815	0.9990324929994724	0.7988502678735895	3.073568677250236	0.1201211190361282	50	refuse	Skin	SF3B1
23	0.8857297590035201	-3.6081790428132976e-05	1.0000123573183777	0.74111220621135	2.919890243387724	0.124715179234506	50	refuse	Skin	SF3B1
24	0.8828313460610655	-0.0029344947328827	1.0010584563230946	0.8994598406537804	2.773895731218337	0.124715179234506	50	refuse	Skin	SF3B1
25	0.8885139884718122	0.0027481476778639	0.9989576828234924	0.9157231120233869	2.6352009446574205	0.1201211190361282	50	refuse	Skin	SF3B1
26	0.8879920702350609	0.0022262294411126	0.999111127456755	0.4594100172144788	2.503440897424549	0.1201211190361282	50	refuse	Skin	SF3B1
