Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
1	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
2	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
3	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
4	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
5	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
6	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
7	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
8	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
9	SF3B1	XAB2|SNRPA|INS|SF3B1|SNRPG|PRPF6|NUP133|CPSF6|SNRPB|NCBP1|CLASP1|TRRAP|BUD31|SIN3A|POLR2A|CDC5L|U2AF2|U2SURP|RBM25|CDC73|TERT|SNRPD2|DDX23|PLRG1|TXNL4A|PPIG|LUC7L|SF3B4|SNRPC|PRPF31|PNN|WBP11|SNRNP70|KDM1A|DHX15|SART3|SRSF6|CRNKL1|EFTUD2|SART1|RNPS1|SNRPA1|SF3A2|TPR|U2AF1|THRAP3|PRPF40A|CHERP|HNRNPL|SNRPB2	Skin
