Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
0	0.9715972376921364	0.0009008649763376	0.9999051766037764	0.4894298279389492	9.5	0.1178153567679057	49	refuse	Skin	TP53
1	0.9712339906485058	0.0005376179327071	0.999940431920209	0.7597787883313064	9.025	0.1224210551194349	49	refuse	Skin	TP53
2	0.9698591241673036	-0.0008372485484949	1.0000976573179243	0.2453791199464998	8.57375	0.1224210551194349	49	refuse	Skin	TP53
3	0.9698882390410564	-0.0008081336747424	1.0000992225371648	0.4992453215964147	8.1450625	0.1178153567679057	49	refuse	Skin	TP53
4	0.970843183609141	0.0001468108933423	0.9999810269943984	0.6426332059538744	7.737809374999999	0.1178153567679057	49	refuse	Skin	TP53
5	0.9710033499917624	0.0003069772759636	0.9999582404771128	0.1540576556699454	7.350918906249999	0.1178153567679057	49	refuse	Skin	TP53
6	0.9706963727157988	0.0	1.0	0.6492545074231784	6.9833729609375	0.1201211190361282	49	refuse	Skin	TP53
7	0.9710084033613444	0.0003120306455458	0.9999529674859292	0.0006818636408599	6.634204312890624	0.1224210551194349	49	refuse	Skin	TP53
8	0.9725177304964538	0.0018213577806551	0.999711051751765	0.5818070507142594	6.302494097246092	0.1178153567679057	49	refuse	Skin	TP53
9	0.9702341869117967	-0.0004621858040018	1.0000771964468922	0.2614855874908282	5.987369392383788	0.1224210551194349	49	refuse	Skin	TP53
10	0.9715498704306116	0.0008534977148128	0.9998499589407686	0.7388580411205515	5.688000922764598	0.1178153567679057	49	refuse	Skin	TP53
11	0.9714349227520284	0.0007385500362298	0.999863331955145	0.8510996410843676	5.403600876626368	0.1178153567679057	49	refuse	Skin	TP53
12	0.9706963727157988	0.0	1.0	0.908021425436276	5.133420832795049	0.1201211190361282	49	refuse	Skin	TP53
13	0.9718842029227094	0.0011878302069107	0.9997564596074058	0.1719134253910738	4.876749791155296	0.1178153567679057	49	refuse	Skin	TP53
14	0.9718169209431344	0.0011205482273358	0.9997581623278085	0.333349599708555	4.632912301597531	0.1178153567679057	49	refuse	Skin	TP53
15	0.9696456843369547	-0.0010506883788439	1.000238752585558	0.6445646591006348	4.401266686517654	0.1224210551194349	49	refuse	Skin	TP53
16	0.9700726339358856	-0.0006237387799131	1.0001491879857016	0.9461180134021012	4.181203352191771	0.1224210551194349	49	refuse	Skin	TP53
17	0.9702472106760008	-0.0004491620397978	1.0001130844018091	0.0344122604384913	3.972143184582182	0.1224210551194349	49	refuse	Skin	TP53
18	0.971113185787248	0.0004168130714493	0.9998895492054248	0.9898031798304286	3.773536025353073	0.1178153567679057	49	refuse	Skin	TP53
19	0.9710084033613444	0.0003120306455458	0.9999129625330684	0.3659019018187973	3.584859224085419	0.1224210551194349	49	refuse	Skin	TP53
20	0.9713103448275862	0.0006139721117874	0.9998197340147592	0.6250110225380896	3.405616262881148	0.1178153567679057	49	refuse	Skin	TP53
21	0.9713892709766162	0.0006928982608175	0.9997858571145662	0.2807927376938915	3.2353354497370903	0.1178153567679057	49	refuse	Skin	TP53
22	0.9709532883555648	0.000256915639766	0.9999164147837842	0.2348630073726497	3.073568677250236	0.1224210551194349	49	refuse	Skin	TP53
23	0.971317105335458	0.0006207326196593	0.999787434940168	0.621725736428157	2.919890243387724	0.1178153567679057	49	refuse	Skin	TP53
24	0.9712339906485058	0.0005376179327071	0.9998062054635776	0.2416960522193536	2.773895731218337	0.1224210551194349	49	refuse	Skin	TP53
25	0.9696969696969696	-0.0009994030188289	1.0003793230862312	0.7009386054766521	2.6352009446574205	0.1224210551194349	49	refuse	Skin	TP53
26	0.9687941720126128	-0.0019022007031859	1.0007601232236218	0.2815023484090471	2.503440897424549	0.1224210551194349	49	refuse	Skin	TP53
27	0.9697713755661048	-0.0009249971496939	1.00038901281279	0.4245149568029266	2.378268852553321	0.1224210551194349	49	refuse	Skin	TP53
28	0.9718044069489926	0.0011080342331939	0.999509699726134	0.3071944793804019	2.2593554099256554	0.1178153567679057	49	refuse	Skin	TP53
29	0.9693482410689938	-0.0013481316468049	1.000628290569186	0.333087231046545	2.1463876394293724	0.1224210551194349	49	refuse	Skin	TP53
30	0.9710160899272648	0.000319717211466	0.9998432165541988	0.4237015212335914	2.039068257457904	0.1178153567679057	49	refuse	Skin	TP53
31	0.9713249835201054	0.0006286108043067	0.999675543852122	0.2537328797154714	1.9371148445850084	0.1178153567679057	49	refuse	Skin	TP53
32	0.9722237591988048	0.0015273864830062	0.9991703598678876	0.5336817895264291	1.840259102355758	0.1178153567679057	49	refuse	Skin	TP53
33	0.9707724425887264	7.606987292785305e-05	0.99995648883992	0.5361635969537624	1.74824614723797	0.1178153567679057	49	refuse	Skin	TP53
