Times	Tissue-specific mutated genes	Subnetwork member genes	Tissue
0	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
1	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
2	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
3	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
4	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
5	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
6	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
7	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
8	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
9	TP53	ADIPOQ|BAX|INS|IFNG|UBC|TRAF6|NCL|HCFC1|HDAC1|TRRAP|ATM|SMAD2|PSMA8|MAPK14|DCC|MAPK8|UBE2I|NCOR1|CDK2|CSNK2A1|PIN1|GDF15|CDKN2A|USP7|NR1H4|PATZ1|MAP3K1|ITCH|MDM2|RBL2|MYC|ELL|TP53|E2F1|FAS|SMARCA4|KDM1A|CASP3|YY1|HSPA1A|KAT2B|TNF|S100A4|EGF|PML|HIPK2|GSK3B|CFLAR|EGR1	Skin
